ticker,sector,cap,bars,data_integrity,signal_admissible,max_signal,bear_frequency,sideways_frequency,bull_frequency,transition_cells_covering_base_rate,overlap_persistence,stride_persistence,hit_rate,log_loss,baseline_log_loss,log_loss_delta,brier_score,baseline_brier,brier_delta,markov_gross_sharpe,markov_net_sharpe,baseline_net_sharpe,buy_hold_net_sharpe,markov_minus_baseline_sharpe,circular_null_percentile,circular_p_value,iid_null_percentile,cagr,max_drawdown,exposure,turnover,profit_factor,permutation_gate,baseline_gate,final_verdict
BAJFINANCE.NS,Financials,Large Cap,2468,FAIL,PASS,0.21153846153846154,0.20465686274509803,0.40727124183006536,0.3880718954248366,9,0.8472583052031637,0.34850467116686445,0.5152335815842924,1.117644629145301,1.0974074648270713,-0.02023716431822975,0.6750738293887059,0.6638941155086757,-0.01117971388003014,0.7826025837963221,0.7481179914250573,0.820058766839116,0.6264659502513573,-0.07194077541405874,86.3,0.13786213786213786,98.6,0.18997400540314469,-0.3220185290088009,0.8740390301596689,9.9846244825547,1.1580028403207145,FAIL,FAIL,NO EVIDENCE OF EDGE
BAJAJFINSV.NS,Financials,Large Cap,2468,FAIL,PASS,0.23038605230386053,0.19648692810457516,0.4681372549019608,0.335375816993464,9,0.8508605164204704,0.38630354897478186,0.5014705882352941,1.050596190533666,1.0495301279604128,-0.001066062573253257,0.6347713834907056,0.6338764620754128,-0.0008949214152927931,0.6469062561595373,0.5751593970651853,0.7292453356206322,0.585879148892864,-0.15408593855544694,76.3,0.23776223776223776,60.099999999999994,0.12320430910248725,-0.4117444038877215,0.804849201655825,18.628030751034892,1.1315696358941838,FAIL,FAIL,NO EVIDENCE OF EDGE
INDUSINDBK.NS,Financials,Large Cap,2468,FAIL,PASS,0.11601731601731602,0.22263071895424835,0.47671568627450983,0.3006535947712418,9,0.8487048442747955,0.3525036635128378,0.5186246418338109,1.0928531646926611,1.0943363652042677,0.0014832005116065528,0.6617065425977785,0.6641329105107492,0.002426367912970684,0.2705648575180014,0.19371817277575254,0.6620915052548008,0.17242286211035063,-0.4683733324790482,66.0,0.34065934065934067,87.51300728407908,0.002842308558609785,-0.6652185327060632,0.4121821407451212,25.78119455943229,1.0910063834763242,FAIL,FAIL,NO EVIDENCE OF EDGE
RELIANCE.NS,Energy,Large Cap,2468,PASS,PASS,0.1700507614213198,0.16094771241830066,0.5379901960784313,0.30106209150326796,9,0.8432509306616468,0.3318999718051993,0.514792899408284,1.0293753446414242,1.0131087505184087,-0.016266594123015565,0.613632103732487,0.6040415735713235,-0.009590530161163513,0.554256956981152,0.5537238818415681,0.3630722055302914,0.554256956981152,0.19065167631127666,84.2,0.15884115884115885,67.9,0.12194103508188525,-0.45088352661094333,1.0,0.14902424600827913,1.1084149604172209,FAIL,PASS,NO EVIDENCE OF EDGE
ONGC.NS,Energy,Large Cap,2468,FAIL,PASS,0.143236074270557,0.2099673202614379,0.4812091503267974,0.3088235294117647,9,0.8560725411368466,0.35347941114746423,0.5067064083457526,1.0682669438920867,1.057155078537816,-0.011111865354270556,0.6457265818538984,0.6389318059367769,-0.0067947759171215205,0.2972891152564566,0.22319825959293463,0.6306674734711673,0.5753071643350535,-0.40746921387823265,26.1,0.7392607392607392,72.5,0.02418430282750017,-0.36646476858273475,0.397397989355411,19.373151981076287,1.0837059596608758,FAIL,FAIL,NO EVIDENCE OF EDGE
NTPC.NS,Utilities,Large Cap,2468,FAIL,PASS,0.15378955114054452,0.16176470588235295,0.5629084967320261,0.27532679738562094,9,0.8419355629698718,0.36650258451636186,0.5211726384364821,1.0282124625503555,1.0278340144554954,-0.00037844809486009545,0.6197912431724627,0.620818649197681,0.001027406025218336,0.4147921326844933,0.2747362874541631,0.9524615485780352,0.8397087771820618,-0.6777252611238721,28.599999999999998,0.7142857142857143,32.5,0.03478384345568397,-0.43623271277477915,0.543465405085748,26.675340035481963,1.0828122525072725,FAIL,FAIL,NO EVIDENCE OF EDGE
POWERGRID.NS,Utilities,Large Cap,2468,PASS,PASS,0.21612903225806449,0.12867647058823528,0.6151960784313726,0.25612745098039214,9,0.827510695610539,0.3262106949115247,0.5246422893481717,0.9679138827984735,0.9604945456247669,-0.007419337173706575,0.5727085758589324,0.5726872061525523,-2.1369706380114373e-05,0.9286994765526851,0.805273903583205,0.47105811204168535,0.8068178315831377,0.3342157915415197,82.5,0.17582417582417584,75.3,0.16802608972017463,-0.26118075042036726,0.7445298639858072,27.56948551153164,1.1889797148071328,FAIL,PASS,NO EVIDENCE OF EDGE
BPCL.NS,Energy,Large Cap,2468,FAIL,PASS,0.1675485008818342,0.23161764705882354,0.4550653594771242,0.3133169934640523,9,0.8312507445151441,0.29155676724650986,0.4838709677419355,1.0689223336118483,1.0595090466559702,-0.009413286955878064,0.6456606537178345,0.6397740836140865,-0.005886570103748046,-0.12986146783703942,-0.23416739836464973,0.6182341938180064,0.48367513777642723,-0.8524015921826561,5.800000000000001,0.942057942057942,44.36548223350254,-0.062356688518151016,-0.5036357600523599,0.21998817267888823,20.26729745712596,0.9292944237175929,FAIL,FAIL,NO EVIDENCE OF EDGE
IOC.NS,Energy,Large Cap,2468,FAIL,FAIL,0.09931972789115645,0.23488562091503268,0.46486928104575165,0.3002450980392157,9,0.8480950065774465,0.34157752017350457,0.49586776859504134,1.0762005745280054,1.0627421570470215,-0.013458417480983975,0.6496836590971218,0.6416095444385772,-0.008074114658544573,0.00989573760056716,-0.07049265916590033,0.7621119193999747,0.5705185112958269,-0.832604578565875,24.8,0.7522477522477522,70.47619047619048,-0.016668080562908916,-0.26697777359487207,0.1419278533412182,10.13364872856298,0.9859487121504532,FAIL,FAIL,WEAK / INCONCLUSIVE
COALINDIA.NS,Energy,Large Cap,2468,PASS,PASS,0.10816326530612247,0.20098039215686275,0.5151143790849673,0.2839052287581699,9,0.8441727454273514,0.35669479422946937,0.49135802469135803,1.032098070739207,1.0268697768297057,-0.0052282939095011915,0.6192412599069279,0.6172587491327112,-0.001982510774216739,-0.5982163300027146,-0.6895142517902703,0.9200868662510288,0.820148784492566,-1.609601118041299,1.9,0.981018981018981,4.374364191251272,-0.12221422951280225,-0.6287714783105962,0.23950325251330573,15.49852158486103,0.7965314835384703,FAIL,FAIL,NO EVIDENCE OF EDGE
SUZLON.NS,Industrials,Mid/Small Cap,2468,FAIL,PASS,0.12739571589627957,0.3958333333333333,0.24183006535947713,0.36233660130718953,9,0.8312045932792577,0.3776007653467075,0.49024199843871974,1.1035490025084205,1.1080686454297006,0.004519642921280154,0.6698546218569557,0.6741963304418414,0.004341708584885695,-0.33197637157412707,-0.3839537697951167,1.578965909873071,1.1134222600456156,-1.9629196796681878,39.300000000000004,0.6073926073926074,48.19047619047619,-0.24935720380256254,-0.9276494235158759,0.7581312832643406,23.992903607332938,0.9304527702508321,FAIL,FAIL,NO EVIDENCE OF EDGE
MARUTI.NS,Consumer Discretionary,Large Cap,2468,FAIL,PASS,0.15782122905027932,0.16462418300653595,0.5428921568627451,0.29248366013071897,9,0.8382058878596298,0.361843426733232,0.49872773536895676,0.9854309972253374,0.9797593966829188,-0.005671600542418664,0.588670186307634,0.585324557194203,-0.003345629113431059,0.45216550331491495,0.37321510504605937,0.5649628457026286,0.5355394452323989,-0.1917477406565692,36.9,0.6313686313686314,43.9,0.05516061349119994,-0.2960171623929724,0.6966292134831461,15.34949733885275,1.0915153276934781,FAIL,FAIL,NO EVIDENCE OF EDGE
