Null Method,Mean Percentile,Median Percentile,Std Dev,Q25,Q75,Pct >= 95th,Pct >= 99th
Circular Rotation (Primary),41.73,35.80,32.25,13.25,70.25,4.0%,0.0%
i.i.d. Shuffle (Secondary),46.63,46.50,37.35,5.65,85.44,12.0%,6.0%
