ticker,sector,cap,markov_net_sharpe,baseline_net_sharpe,markov_minus_baseline_sharpe,circular_null_percentile,max_signal,transition_cells_covering_base_rate,final_verdict
DABUR.NS,Consumer Staples,Large Cap,0.22340353986954256,-0.33445810691045896,0.5578616467800015,79.10000000000001,0.15342465753424658,9,NO EVIDENCE OF EDGE
POWERGRID.NS,Utilities,Large Cap,0.805273903583205,0.47105811204168535,0.3342157915415197,82.5,0.21612903225806449,9,NO EVIDENCE OF EDGE
NESTLEIND.NS,Consumer Staples,Large Cap,0.6685455812623361,0.362205827910898,0.3063397533514381,85.1,0.2748091603053435,9,NO EVIDENCE OF EDGE
HINDUNILVR.NS,Consumer Staples,Large Cap,0.1386159174938039,-0.11321648362986667,0.25183240112367056,62.8,0.1843575418994413,9,NO EVIDENCE OF EDGE
AXISBANK.NS,Financials,Large Cap,0.7153267175335358,0.5006737640681467,0.21465295346538915,97.1,0.14044512663085187,9,MODEL FAILURE
RELIANCE.NS,Energy,Large Cap,0.5537238818415681,0.3630722055302914,0.19065167631127666,84.2,0.1700507614213198,9,NO EVIDENCE OF EDGE
TITAN.NS,Consumer Discretionary,Large Cap,1.0070812934585684,0.8392450894598588,0.1678362039987097,92.80000000000001,0.25548726953467954,9,NO EVIDENCE OF EDGE
KOTAKBANK.NS,Financials,Large Cap,0.11530626960585988,0.014315051151236421,0.10099121845462346,66.7,0.16147308781869688,9,NO EVIDENCE OF EDGE
HDFCBANK.NS,Financials,Large Cap,0.1990896695732135,0.13917924480535707,0.059910424767856435,70.7,0.16666666666666666,9,NO EVIDENCE OF EDGE
JSWSTEEL.NS,Materials,Large Cap,1.0243447970055393,0.9676249924250425,0.05671980458049675,89.5,0.22058823529411764,9,NO EVIDENCE OF EDGE
TECHM.NS,Information Technology,Large Cap,1.042208181700691,1.0571503035445893,-0.014942121843898315,98.7,0.2075149444918873,9,NO EVIDENCE OF EDGE
BAJFINANCE.NS,Financials,Large Cap,0.7481179914250573,0.820058766839116,-0.07194077541405874,86.3,0.21153846153846154,9,NO EVIDENCE OF EDGE
ICICIBANK.NS,Financials,Large Cap,0.6352563789046082,0.7106772964692866,-0.07542091756467839,40.2,0.35220125786163525,9,NO EVIDENCE OF EDGE
BAJAJFINSV.NS,Financials,Large Cap,0.5751593970651853,0.7292453356206322,-0.15408593855544694,76.3,0.23038605230386053,9,NO EVIDENCE OF EDGE
MARUTI.NS,Consumer Discretionary,Large Cap,0.37321510504605937,0.5649628457026286,-0.1917477406565692,36.9,0.15782122905027932,9,NO EVIDENCE OF EDGE
TATASTEEL.NS,Materials,Large Cap,0.9386553699525509,1.1746481531191921,-0.23599278316664118,78.9,0.17920353982300888,9,NO EVIDENCE OF EDGE
TCS.NS,Information Technology,Large Cap,0.09117385579171598,0.39167926511190937,-0.3005054093201934,60.699999999999996,0.224537037037037,9,NO EVIDENCE OF EDGE
BEL.NS,Industrials,Large Cap,0.6871646695525759,0.9929515757510257,-0.3057869061984497,17.4,0.16153846153846155,9,NO EVIDENCE OF EDGE
DIVISLAB.NS,Healthcare,Large Cap,0.38176027014139474,0.7103923074903831,-0.3286320373489883,17.599999999999998,0.2197309417040359,9,NO EVIDENCE OF EDGE
BAJAJ-AUTO.NS,Consumer Discretionary,Large Cap,0.9905208832646168,1.3332677708588347,-0.3427468875942179,80.10000000000001,0.20343839541547276,9,NO EVIDENCE OF EDGE
ITC.NS,Consumer Staples,Large Cap,0.02395325698319401,0.4076879724182957,-0.3837347154351017,34.699999999999996,0.14285714285714285,9,NO EVIDENCE OF EDGE
BRITANNIA.NS,Consumer Staples,Large Cap,0.24592798694566836,0.6415966613772638,-0.3956686744315954,39.800000000000004,0.1300219138056976,9,NO EVIDENCE OF EDGE
INFY.NS,Information Technology,Large Cap,0.3608362539320802,0.761726821748072,-0.40089056781599186,68.89999999999999,0.15912208504801098,9,NO EVIDENCE OF EDGE
APOLLOHOSP.NS,Healthcare,Large Cap,0.47156843343122395,0.8760100698451482,-0.4044416364139242,26.1,0.26973684210526316,9,NO EVIDENCE OF EDGE
ONGC.NS,Energy,Large Cap,0.22319825959293463,0.6306674734711673,-0.40746921387823265,26.1,0.143236074270557,9,NO EVIDENCE OF EDGE
JINDALSTEL.NS,Materials,Mid Cap,0.9067221878733317,1.3507167250893526,-0.4439945372160209,41.099999999999994,0.18421052631578946,9,NO EVIDENCE OF EDGE
LT.NS,Industrials,Large Cap,0.22142396526385785,0.6683047142063177,-0.44688074894245977,12.2,0.2961956521739131,9,NO EVIDENCE OF EDGE
M&M.NS,Consumer Discretionary,Large Cap,0.5954606505613164,1.0463047605149534,-0.450844109953637,16.400000000000002,0.2010796221322537,9,NO EVIDENCE OF EDGE
INDUSINDBK.NS,Financials,Large Cap,0.19371817277575254,0.6620915052548008,-0.4683733324790482,66.0,0.11601731601731602,9,NO EVIDENCE OF EDGE
ADANIENT.NS,Industrials,Large Cap,0.9972692210212303,1.5444210723948548,-0.5471518513736245,62.8,0.3107981220657277,9,NO EVIDENCE OF EDGE
GRASIM.NS,Materials,Large Cap,0.7106991659640685,1.257893100408999,-0.5471939344449306,28.199999999999996,0.19852941176470587,9,NO EVIDENCE OF EDGE
WIPRO.NS,Information Technology,Large Cap,0.24285004972977434,0.7916025948493531,-0.5487525451195788,60.099999999999994,0.13801452784503632,9,NO EVIDENCE OF EDGE
EICHERMOT.NS,Consumer Discretionary,Large Cap,0.18396441360603255,0.7718192647567544,-0.5878548511507219,4.3,0.14032697547683926,9,NO EVIDENCE OF EDGE
MARICO.NS,Consumer Staples,Mid Cap,-0.08453977427390486,0.541500739899819,-0.6260405141737237,17.7,0.1522491349480969,9,NO EVIDENCE OF EDGE
CIPLA.NS,Healthcare,Large Cap,-0.0396900542644988,0.6252095344020492,-0.664899588666548,16.400000000000002,0.16666666666666663,9,NO EVIDENCE OF EDGE
NTPC.NS,Utilities,Large Cap,0.2747362874541631,0.9524615485780352,-0.6777252611238721,28.599999999999998,0.15378955114054452,9,NO EVIDENCE OF EDGE
DRREDDY.NS,Healthcare,Large Cap,-0.3860981201598024,0.33825262014992136,-0.7243507403097238,8.7,0.31143552311435524,9,NO EVIDENCE OF EDGE
HEROMOTOCO.NS,Consumer Discretionary,Large Cap,0.07117726196551485,0.8105384867974127,-0.7393612248318978,26.1,0.15535444947209656,9,NO EVIDENCE OF EDGE
HINDALCO.NS,Materials,Large Cap,0.3211230389870582,1.0777818172303362,-0.756658778243278,0.4,0.2,9,NO EVIDENCE OF EDGE
ADANIPORTS.NS,Industrials,Large Cap,0.027057720640500403,0.7878396619186989,-0.7607819412781985,0.0,0.18448637316561847,9,NO EVIDENCE OF EDGE
VEDL.NS,Materials,Large Cap,0.12753041932868234,0.9078610098742739,-0.7803305905455915,0.7000000000000001,0.23565573770491802,9,NO EVIDENCE OF EDGE
IOC.NS,Energy,Large Cap,-0.07049265916590033,0.7621119193999747,-0.832604578565875,24.8,0.09931972789115645,9,WEAK / INCONCLUSIVE
