sector,n_stocks,avg_markov_sharpe,avg_baseline_sharpe,avg_diff_sharpe,avg_null_pct,pct_sig_admissible,pct_pass_all_gates
Consumer Discretionary,7,0.3396759821217426,0.8833088012185811,-0.5436328190968387,37.7,85.71428571428571,0.0
Consumer Staples,6,0.20265108471344004,0.25088610184432514,-0.04823501713088512,53.199999999999996,100.0,0.0
Energy,5,-0.043450433577263525,0.6588345316940937,-0.7022849652713572,28.560000000000002,80.0,0.0
Financials,8,0.41340566601223633,0.5694768952564271,-0.1560712292441908,63.225,100.0,0.0
Healthcare,5,0.032099302739667976,0.6605856394937031,-0.6284863367540352,14.66,100.0,0.0
Industrials,5,0.30979236133660953,1.1144965868287937,-0.8047042254921841,26.339999999999996,100.0,0.0
Information Technology,5,0.36045249700736065,0.791431342725913,-0.4309788457185523,59.54,100.0,0.0
Materials,7,0.5435293215616126,1.0785495822572966,-0.535020260695684,34.4,100.0,0.0
Utilities,2,0.5400050955186841,0.7117598303098602,-0.1717547347911762,55.55,100.0,0.0
